overall_rank,player_name,position,team,predicted_points,vor
200,Cooper Rush,QB,DAL,25.300674371335184,-6.324963990275947
201,Michael White,QB,NYJ,25.300674371335184,-6.324963990275947
202,Kyle Allen,QB,HOU,25.300674371335184,-6.324963990275947
203,Phillip Walker,QB,CAR,25.300674371335184,-6.324963990275947
204,John Wolford,QB,LA,25.300674371335184,-6.324963990275947
205,Jeffrey Driskel,QB,HOU,25.300674371335184,-6.324963990275947
206,Brett Rypien,QB,DEN,25.300674371335184,-6.324963990275947
207,Tyrod Taylor,QB,NYG,25.253071389363843,-6.367806674050154
208,Blaine Gabbert,QB,TB,25.253071389363843,-6.367806674050154
209,Chad Henne,QB,KC,25.253071389363843,-6.367806674050154
210,Joseph Flacco,QB,NYJ,25.253071389363843,-6.367806674050154
211,Casey Keenum,QB,BUF,25.253071389363843,-6.367806674050154
212,Nicholas Foles,QB,IND,25.253071389363843,-6.367806674050154
213,William Daniel,QB,LAC,25.253071389363843,-6.367806674050154
214,Joshua Johnson,QB,SF,25.253071389363843,-6.367806674050154
215,Daniel McCoy,QB,ARI,25.253071389363843,-6.367806674050154
216,Brian Hoyer,QB,NE,25.253071389363843,-6.367806674050154
217,Darnell Mooney,WR,CHI,14.91852858620675,-6.3803774427260525
218,Nico Collins,WR,HOU,14.91852858620675,-6.3803774427260525
219,Richard McSorley,QB,ARI,25.22582479703179,-6.392328607149
220,Jameis Winston,QB,NO,25.22582479703179,-6.392328607149
221,John Stafford,QB,LA,25.221549499429337,-6.396176374991209
222,DeVante Parker,WR,NE,14.867370896238516,-6.441766670687933
223,Christopher Moore,WR,HOU,14.867370896238516,-6.441766670687933
224,Robert Woods,WR,TEN,14.867370896238516,-6.441766670687933
225,DeAndre Carter,WR,LAC,14.867370896238516,-6.441766670687933
226,Corey Davis,WR,NYJ,14.838564794120675,-6.476333993229342
227,Chase Claypool,WR,CHI,14.8291347343384,-6.487650064968072
228,Noah Brown,WR,DAL,14.820214438874343,-6.49835441952494
229,Demarcus Robinson,WR,BAL,14.776299067428564,-6.551052865259875
230,Joshua Reynolds,WR,DET,14.776299067428564,-6.551052865259875
231,Logan Thomas,TE,WAS,10.12422871154131,-6.574266194188656
232,Russell Gage,WR,TB,14.687253429277225,-6.657907631041481
233,Brock Wright,TE,DET,10.041418152933554,-6.690200976239515
234,Shane Zylstra,TE,DET,10.041418152933554,-6.690200976239515
235,Jelani Woods,TE,IND,10.032299034435484,-6.702967742136813
236,Colby Parkinson,TE,SEA,10.032299034435484,-6.702967742136813
237,MyCole Pruitt,TE,ATL,9.812633214774332,-7.010499889662426
238,Kendrick Bourne,WR,NE,14.36656579718675,-7.042732789550052
239,Isaiah McKenzie,WR,BUF,14.30600301438398,-7.115408128913375
240,Romeo Doubs,WR,GB,14.271124313029652,-7.157262570538569
241,Marvin Jones,WR,JAX,14.233768331950829,-7.202089747833156
242,Bennie Jennings,WR,SF,14.21448007714946,-7.225235653594799
243,Mason Schreck,TE,HOU,9.626717508108518,-7.270781878994565
244,O'Terrius Howard,TE,HOU,9.626717508108518,-7.270781878994565
245,Geoffrey Swaim,TE,TEN,9.626717508108518,-7.270781878994565
246,Mohamed Alie-Cox,TE,IND,9.626717508108518,-7.270781878994565
247,Eric Saubert,TE,DEN,9.626717508108518,-7.270781878994565
248,Daniel Arnold,TE,JAX,9.626717508108518,-7.270781878994565
249,Ross Dwelley,TE,SF,9.626717508108518,-7.270781878994565
250,John Mundt,TE,MIN,9.626717508108518,-7.270781878994565
251,Jonnu Smith,TE,NE,9.626717508108518,-7.270781878994565
252,Pharaoh Brown,TE,CLE,9.626717508108518,-7.270781878994565
253,Maxx Williams,TE,ARI,9.626717508108518,-7.270781878994565
254,Anthony Firkser,TE,ATL,9.626717508108518,-7.270781878994565
255,Thomas Sweeney,TE,BUF,9.626717508108518,-7.270781878994565
256,Tanner Hudson,TE,CIN,9.626717508108518,-7.270781878994565
257,Parker Hesse,TE,ATL,9.626717508108518,-7.270781878994565
258,Durham Smythe,TE,MIA,9.626717508108518,-7.270781878994565
259,Jameson Williams,WR,DET,14.15567997429554,-7.295795777019504
260,Skyy Moore,WR,KC,14.149311270291152,-7.303438221824769
261,Tyquan Thornton,WR,NE,14.149311270291152,-7.303438221824769
