player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,rb_tier,wr_tier,te_tier,qb_tier
00-0036898,Davis Mills,HOU,QB,9.101729399306166,-7.498859996056268,56,False,10,25,7,-1,-6.0,0.8,547,8,,,,6.0
00-0037327,Skylar Thompson,MIA,QB,9.034578895933056,-7.566010499429378,57,False,10,25,7,-1,-6.05,0.8,548,8,,,,6.0
00-0034177,Tim Boyle,NYG,QB,9.031617891510294,-7.56897150385214,58,False,10,25,7,-1,-6.06,0.8,549,8,,,,6.0
00-0038550,Hendon Hooker,DET,QB,8.959297658851884,-7.641291736510549,59,False,10,25,7,-1,-6.11,0.8,550,8,,,,6.0
00-0035993,Tyler Huntley,MIA,QB,8.852713016344424,-7.74787637901801,60,False,10,25,7,-1,-6.2,0.8,551,8,,,,6.0
00-0038400,Tanner McKee,PHI,QB,8.82964776494867,-7.770941630413764,61,False,10,25,7,-1,-6.22,0.8,552,8,,,,6.0
00-0036928,Kyle Trask,TB,QB,8.827512471849216,-7.7730769235132176,62,False,10,25,7,-1,-6.22,0.8,553,8,,,,6.0
00-0038108,Bailey Zappe,CLE,QB,8.820115318623971,-7.780474076738463,63,False,10,25,7,-1,-6.22,0.8,554,8,,,,6.0
00-0032434,Brandon Allen,SF,QB,8.69239983725626,-7.908189558106173,64,False,10,25,7,-1,-6.33,0.8,555,8,,,,6.0
00-0039917,Michael Penix Jr.,ATL,QB,8.69044697013332,-7.910142425229115,65,False,10,25,7,-1,-6.33,0.8,556,8,,,,6.0
00-0038416,Tyson Bagent,CHI,QB,8.524120118983753,-8.076469276378681,66,False,10,25,7,-1,-6.46,0.8,557,8,,,,6.0
00-0039398,Joe Milton III,NE,QB,8.446192254147498,-8.154397141214936,67,False,10,25,7,-1,-6.52,0.8,558,8,,,,6.0
00-0038128,Malik Willis,GB,QB,8.410063401721963,-8.19052599364047,68,False,10,25,7,-1,-6.55,0.8,559,8,,,,6.0
00-0038476,Tommy DeVito,NYG,QB,8.357996204701683,-8.24259319066075,69,False,10,25,7,-1,-6.59,0.8,560,8,,,,6.0
00-0032268,Marcus Mariota,WAS,QB,8.205196320187838,-8.395393075174596,70,False,10,25,7,-1,-6.72,0.8,561,8,,,,6.0
00-0038102,Kenny Pickett,PHI,QB,8.200356690125483,-8.40023270523695,71,False,10,25,7,-1,-6.72,0.8,562,8,,,,6.0
00-0033949,Joshua Dobbs,SF,QB,8.102831549497433,-8.497757845865001,72,False,10,25,7,-1,-6.8,0.8,563,8,,,,6.0
00-0038582,Clayton Tune,ARI,QB,8.077916124329658,-8.522673271032776,73,False,10,25,7,-1,-6.82,0.8,564,8,,,,6.0
00-0037012,Trey Lance,DAL,QB,8.026061744217134,-8.5745276511453,74,False,10,25,7,-1,-6.86,0.8,565,8,,,,6.0
00-0033869,Mitchell Trubisky,BUF,QB,7.933613386551506,-8.666976008810927,75,False,10,25,7,-1,-6.93,0.8,566,8,,,,6.0
00-0038998,Jake Haener,NO,QB,7.734474518751478,-8.866114876610956,76,False,10,25,7,-1,-7.09,0.8,567,8,,,,6.0
00-0038122,Desmond Ridder,LV,QB,7.58132180187507,-9.019267593487363,77,False,10,25,7,-1,-7.22,0.8,568,8,,,,6.0
00-0038583,Dorian Thompson-Robinson,CLE,QB,7.248207554254764,-9.35238184110767,78,False,10,25,7,-1,-7.48,0.8,569,8,,,,6.0
