overall_rank,player_name,position,team,predicted_points,raw_vor,vor
347,Justyn Ross,K,KC,13.376762800570372,0.0,0.0
348,Javonte Williams,K,DEN,13.376762800570372,0.0,0.0
349,Josh Palmer,K,LAC,13.376762800570372,0.0,0.0
350,Kevin Austin Jr.,K,NO,13.376762800570372,0.0,0.0
351,Roschon Johnson,K,CHI,13.376762800570372,0.0,0.0
352,Johnny Wilson,K,PHI,13.376762800570372,0.0,0.0
353,Anthony Richardson,K,IND,13.376762800570372,0.0,0.0
354,Darrynton Evans,K,CHI,13.376762800570372,0.0,0.0
355,Adam Prentice,K,NO,13.376762800570372,0.0,0.0
356,Jermar Jefferson,K,DET,13.376762800570372,0.0,0.0
357,Simi Fehoko,K,LAC,13.376762800570372,0.0,0.0
358,Zach Davidson,K,BUF,13.376762800570372,0.0,0.0
359,Ihmir Smith-Marsette,K,NYG,13.376762800570372,0.0,0.0
360,Kristian Wilkerson,K,LV,13.376762800570372,0.0,0.0
361,Stephen Sullivan,K,CAR,13.376762800570372,0.0,0.0
362,Tyler Johnson,K,LA,13.376762800570372,0.0,0.0
363,Cole Kmet,K,CHI,13.376762800570372,0.0,0.0
364,Nico Collins,K,HOU,13.376762800570372,0.0,0.0
365,D'Andre Swift,K,CHI,13.376762800570372,0.0,0.0
366,Laviska Shenault Jr.,K,LAC,13.376762800570372,0.0,0.0
367,Jordan Love,K,GB,13.376762800570372,0.0,0.0
368,Brandon Aiyuk,K,SF,13.376762800570372,0.0,0.0
369,Jauan Jennings,K,SF,13.376762800570372,0.0,0.0
370,Collin Johnson,K,CHI,13.376762800570372,0.0,0.0
371,Michael Pittman,K,IND,13.376762800570372,0.0,0.0
372,Zack Moss,K,CIN,13.376762800570372,0.0,0.0
373,Jack Stoll,K,MIA,13.376762800570372,0.0,0.0
374,Brock Wright,K,DET,13.376762800570372,0.0,0.0
375,Feleipe Franks,K,CAR,13.376762800570372,0.0,0.0
376,Austin Trammell,K,JAX,13.376762800570372,0.0,0.0
377,Shane Zylstra,K,DET,13.376762800570372,0.0,0.0
378,DJ Turner,K,LV,13.376762800570372,0.0,0.0
379,Kenny Yeboah,K,NYJ,13.376762800570372,0.0,0.0
380,Tim Jones,K,JAX,13.376762800570372,0.0,0.0
381,Chris Blair,K,ATL,13.376762800570372,0.0,0.0
382,Ke'Shawn Vaughn,K,SF,13.376762800570372,0.0,0.0
383,John Bates,K,WAS,13.376762800570372,0.0,0.0
384,Joe Burrow,K,CIN,13.376762800570372,0.0,0.0
385,Tylan Wallace,K,BAL,13.376762800570372,0.0,0.0
386,Noah Gray,K,KC,13.376762800570372,0.0,0.0
387,Penei Sewell,K,DET,13.376762800570372,0.0,0.0
388,Jaelon Darden,K,SEA,13.376762800570372,0.0,0.0
389,Kylen Granson,K,IND,13.376762800570372,0.0,0.0
390,Rhamondre Stevenson,K,NE,13.376762800570372,0.0,0.0
391,Ben Skowronek,K,PIT,13.376762800570372,0.0,0.0
392,Tutu Atwell,K,LA,13.376762800570372,0.0,0.0
393,Kene Nwangwu,K,NYJ,13.376762800570372,0.0,0.0
394,Colby Parkinson,K,LA,13.376762800570372,0.0,0.0
395,Harrison Bryant,K,LV,13.376762800570372,0.0,0.0
396,Jonathan Taylor,K,IND,13.376762800570372,0.0,0.0
397,Devin Duvernay,K,JAX,13.376762800570372,0.0,0.0
398,Luke Farrell,K,JAX,13.376762800570372,0.0,0.0
399,Hayden Hurst,K,LAC,13.376762800570372,0.0,0.0
400,DJ Moore,K,CHI,13.376762800570372,0.0,0.0
401,Robbie Chosen,K,MIA,13.376762800570372,0.0,0.0
